"Actions","Thao tác"
"An error occurred while marking notification as read.","An error occurred while marking notification as read."
"An error occurred while marking the messages as read.","An error occurred while marking the messages as read."
"An error occurred while removing messages.","An error occurred while removing messages."
"An error occurred while removing the message.","An error occurred while removing the message."
"Are you sure?","Bạn chắc chứ?"
"Date Added","Ngày thêm"
"Last Update","Lần cập nhật cuối"
"Mark as Read","Đánh dấu đã đọc"
"Mark as read","Đánh dấu đã đọc"
"Message","Thông báo"
"Messages Inbox","Hộp nhận thông điệp"
"Notifications","Thông báo"
"Please select messages.","Please select messages."
"Read details","Đọc chi tiết"
"Remove","Loại bỏ"
"Severity","Severity"
"Show List","Show List"
"Show Toolbar","Show Toolbar"
"The message has been marked as read.","The message has been marked as read."
"The message has been removed.","The message has been removed."
"Total of %d record(s) have been marked as read.","Total of %d record(s) have been marked as read."
"Total of %d record(s) have been removed.","Total of %d record(s) have been removed."
"Unable to proceed. Please, try again.","Unable to proceed. Please, try again."
"Update Frequency","Update Frequency"
"Use HTTPS to Get Feed","Use HTTPS to Get Feed"
"critical","critical"
"MAJOR","CHÍNH"
"MINOR","PHỤ"
"notice","notice"
